instance ID,event,node,start,end,latitude,longitude,accuracy,old-value,new-value
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,form finalize,,1646787467976,,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,form exit,,1646787467976,,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,form save,,1646787467976,,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,end screen,,1646787465619,1646787467230,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,question,/data/favorite-sport,1646787458482,1646787465547,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,question,/data/hobby,1646787453322,1646787458370,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,question,/data/tv-show,1646787449412,1646787453275,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,question,/data/favorite-number,1646787447078,1646787449362,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,question,/data/vacation-spot,1646787443514,1646787446982,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,question,/data/favorite-chocolate,1646787440117,1646787443408,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,question,/data/birth-city,1646787434185,1646787440052,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,question,/data/num-siblings,1646787431161,1646787434085,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,question,/data/song,1646787425854,1646787430967,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,question,/data/dream-car,1646787422874,1646787425775,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,question,/data/zodiac,1646787419378,1646787422595,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,question,/data/favorite-food,1646787413736,1646787419248,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,question,/data/favorite-color,1646787410729,1646787413413,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,question,/data/birthday,1646787406171,1646787410674,,,,,
